velocity Oct 20, 2022 10:08 AM
Time (s)	Velocity (cm/s)
3.990	40.592
4.000	43.602
4.010	48.332
4.020	50.482
4.030	53.492
4.040	55.642
4.050	57.792
4.060	59.942
4.070	61.232
4.080	61.662
4.090	61.232
4.100	60.372
4.110	60.802
4.120	59.512
4.130	57.792
4.140	56.502
4.150	54.782
4.160	22.532
4.170	38.872
4.180	-47.558
4.190	4.042
4.200	-1.118
4.210	-1.075
4.220	-1.118
4.230	1.462
4.240	-0.258
4.250	-0.258
4.260	1.032
4.270	22.532
4.280	-1.978
4.290	-22.188
4.300	0.602
4.310	1.075
4.320	-0.688
4.330	-0.688
4.340	2.752
4.350	-2.838
4.360	14.792
4.370	-7.138
4.380	-22.618
4.390	-53.578
4.400	-53.965
4.410	-57.878
4.420	-58.738
4.430	-60.458
4.440	-60.458
4.450	-60.845
4.460	-62.178
4.470	-60.888
4.480	-58.308
4.490	-57.448
4.500	-55.685
4.510	-53.578
4.520	-49.708
4.530	-47.988
4.540	-44.978
4.550	-39.818
4.560	-36.335
4.570	-31.648
4.580	-27.348
4.590	-23.048
4.600	-16.168
4.610	-14.448
4.620	-6.278
4.630	-23.048
4.640	3.225
4.650	29.412
4.660	15.222
4.670	17.802
4.680	22.962
4.690	-0.688
4.700	-26.918
4.710	39.302
4.720	128.742
4.730	46.182
4.740	48.332
4.750	52.632
4.760	52.632
4.770	56.502
4.780	58.652
4.790	59.942
4.800	60.372
4.810	60.372
4.820	61.232
4.830	59.082
4.840	59.942
4.850	58.222
4.860	56.932
4.870	56.932
4.880	46.182
4.890	56.072
4.900	-50.568
4.910	-0.645
4.920	1.892
4.930	0.602
4.940	-0.688
4.950	-1.978
4.960	0.602
4.970	0.172
4.980	-1.118
4.990	0.172
5.000	0.602
5.010	-1.075
5.020	1.032
5.030	1.032
5.040	0.172
5.050	3.612
5.060	-1.118
5.070	2.322
5.080	-3.698
5.090	-4.558
5.100	3.182
5.110	-45.795
5.120	-55.728
5.130	-55.728
5.140	-57.018
5.150	-59.168
5.160	-59.985
5.170	-60.458
5.180	-60.028
5.190	-60.458
5.200	-60.458
5.210	-57.835
5.220	-55.728
5.230	-54.868
5.240	-50.998
5.250	-48.848
5.260	-44.978
5.270	-43.645
5.280	-38.098
5.290	-33.798
5.300	-29.498
5.310	-23.908
5.320	-19.178
5.330	-14.878
5.340	-10.965
5.350	-4.128
5.360	1.032
