0.452,0.002,4.32,0.04,98.95,0.5
0.462,0.002,4.41,0.04,98.95,0.5
0.472,0.002,4.51,0.04,98.95,0.5
0.482,0.002,4.60,0.04,98.95,0.5
0.492,0.002,4.70,0.05,98.95,0.5
0.502,0.002,4.79,0.05,98.95,0.5
0.512,0.002,4.89,0.05,98.95,0.5
0.522,0.002,4.99,0.05,98.95,0.5
0.532,0.002,5.08,0.05,98.95,0.5
0.542,0.002,5.18,0.05,98.95,0.5
0.552,0.002,5.28,0.05,98.95,0.5
0.562,0.002,5.37,0.05,98.95,0.5
0.572,0.002,5.46,0.05,98.95,0.5
0.582,0.002,5.56,0.05,98.95,0.5
0.592,0.002,5.65,0.05,98.95,0.5
0.602,0.003,5.75,0.05,98.95,0.5
0.612,0.003,5.84,0.05,98.95,0.5
0.622,0.003,5.94,0.05,98.95,0.5
0.632,0.003,6.03,0.06,98.95,0.5
0.642,0.003,6.13,0.06,98.95,0.5
0.652,0.003,6.22,0.06,98.95,0.5
