0.00,0.01,0.01,0.01
0.10,0.01,1.43,0.02
0.20,0.01,2.58,0.03
0.30,0.01,3.56,0.04
0.40,0.01,4.24,0.04
0.50,0.01,4.77,0.05
0.60,0.01,5.23,0.05
0.70,0.01,5.55,0.05
0.80,0.01,5.86,0.05
0.90,0.01,6.15,0.06
1.00,0.01,6.41,0.06
1.10,0.01,6.64,0.06
1.20,0.01,6.87,0.06
1.30,0.01,7.10,0.06
1.40,0.01,7.32,0.06
