Object Tracking Data File Tue, Nov 22, 2022 9:58 AM
X (pixels)  	Y (pixels)  
724.21	479.74
726.19	481.86
723.17	483.39
729.68	482.61
732.68	484.15
731.22	485.57
728.03	482.19
732.67	478.82
735.59	472.47
729.87	471.26
729.43	474.50
733.28	475.29
733.47	479.58
730.95	482.51
728.21	481.09
723.49	478.63
726.56	478.14
731.52	480.54
734.19	479.47
730.96	475.56
728.36	476.93
725.88	476.73
723.75	476.52
722.24	477.70
720.01	476.27
718.77	481.30
712.41	481.62
710.98	483.79
709.88	482.42
708.66	480.99
704.14	479.69
700.94	480.63
696.98	477.35
699.06	473.03
702.99	473.71
705.55	473.50
699.98	470.22
699.63	471.41
700.05	473.47
701.63	473.58
696.71	468.93
703.09	462.86
700.53	466.34
701.92	466.52
709.00	465.92
712.79	468.13
710.78	470.77
711.13	472.22
711.65	472.18
713.68	463.97
704.38	458.41
701.96	459.63
696.87	460.15
690.37	464.88
691.52	467.91
692.03	469.07
693.58	471.10
690.63	470.91
691.70	473.82
690.03	473.58
692.91	471.00
690.46	470.37
692.28	479.59
691.84	485.07
688.83	485.19
692.24	484.52
691.34	481.64
694.20	481.04
697.44	479.42
693.48	479.80
687.64	481.53
681.79	481.45
681.77	481.21
682.89	479.38
680.97	479.33
675.70	482.31
682.41	483.25
682.37	484.78
686.26	489.64
690.44	489.59
689.64	486.57
690.00	488.19
686.30	485.76
688.15	484.44
688.95	486.45
690.97	483.94
686.81	479.07
684.76	480.09
686.75	478.76
687.74	477.45
687.76	476.34
688.93	473.29
683.49	475.76
687.06	473.88
694.87	470.99
695.97	464.80
690.26	463.59
692.90	463.86
699.18	464.91
699.91	459.22
702.18	452.67
701.81	452.69
694.57	454.30
692.63	449.53
692.80	451.72
692.96	454.49
686.96	461.41
684.68	462.80
686.11	458.28
682.58	458.87
683.05	464.54
677.89	460.42
677.70	458.81
679.75	459.67
679.79	459.63
679.92	458.03
677.96	459.18
672.02	467.76
671.77	475.64
674.29	482.45
