Object Tracking Data File Tue, Nov 22, 2022 10:03 AM
X (pixels)  	Y (pixels)  
684.40	354.43
686.23	356.09
683.46	360.68
681.21	356.89
680.79	357.52
673.47	357.59
674.35	351.58
676.19	354.12
677.10	354.80
682.62	353.92
686.19	351.30
691.73	348.63
690.08	350.05
689.56	346.02
683.56	348.29
681.38	347.19
680.48	349.40
676.00	345.71
678.30	342.28
682.87	340.76
683.59	333.37
680.85	335.60
687.64	332.73
689.97	330.31
687.84	331.48
690.34	325.55
693.96	330.63
694.28	335.75
691.99	339.61
691.68	339.62
696.49	338.26
694.94	337.59
693.47	334.56
690.42	333.80
688.88	336.21
689.48	329.85
689.99	323.95
686.84	328.63
691.04	328.98
686.42	326.89
684.83	324.93
684.11	318.19
683.38	320.54
685.26	318.05
682.07	320.48
681.14	322.41
683.42	326.04
678.39	325.06
680.88	326.24
680.72	325.22
685.04	321.96
688.24	329.42
687.69	329.11
683.85	324.89
687.39	321.20
693.44	320.97
692.40	319.35
694.18	325.21
691.93	319.07
694.28	322.47
688.75	319.12
688.72	317.09
686.47	312.39
686.89	315.17
685.18	319.22
685.00	320.37
674.02	316.31
674.20	315.17
670.90	320.00
666.64	316.61
666.93	310.22
665.25	315.19
659.59	313.23
663.20	320.24
664.88	316.92
665.99	319.17
662.11	325.44
661.49	321.89
662.84	322.89
659.37	317.35
655.02	314.46
657.28	318.43
652.51	322.14
654.45	318.35
652.97	316.66
649.55	312.66
649.61	312.10
656.92	314.40
663.06	313.49
666.59	315.08
665.34	312.09
667.67	307.20
670.31	301.47
666.29	302.88
661.81	304.18
661.86	307.26
661.81	311.50
662.89	307.37
658.22	313.03
659.89	311.94
664.32	310.59
663.20	316.67
671.06	324.43
670.23	319.01
668.30	317.11
673.10	314.83
671.51	318.77
665.28	318.41
661.47	311.62
658.15	307.48
654.14	304.94
655.27	309.51
658.45	310.47
654.52	310.59
657.28	311.33
650.42	315.99
647.29	318.75
645.57	325.85
640.97	322.08
643.31	322.26
