Object Tracking Data File Tue, Nov 22, 2022 10:12 AM
X (pixels)  	Y (pixels)  
137.23	276.95
138.15	277.90
138.64	273.46
135.88	272.42
142.23	270.46
139.30	266.75
143.48	261.53
139.84	264.04
139.07	264.51
139.96	267.50
138.44	268.36
139.22	268.07
139.14	271.10
140.54	277.77
141.88	269.36
140.83	269.95
138.43	269.06
131.50	276.48
128.75	280.93
125.71	286.68
131.23	283.92
129.29	282.24
132.01	283.19
136.70	287.13
143.17	283.84
139.96	279.52
139.26	277.66
133.93	276.37
139.04	274.37
129.81	275.13
132.95	274.39
129.79	275.91
130.77	276.72
130.15	280.98
128.86	282.35
125.02	281.43
121.16	278.20
120.51	276.73
121.67	276.46
124.09	272.53
117.79	273.58
120.95	273.81
118.45	275.68
113.31	275.90
117.48	279.03
121.59	274.92
123.65	273.39
124.94	269.46
123.04	266.19
125.52	270.77
125.80	267.09
126.16	272.06
124.70	274.19
127.67	266.95
127.45	269.44
131.46	268.96
128.43	262.80
129.17	261.30
125.27	257.34
121.47	257.17
122.77	256.90
126.63	261.59
128.02	257.65
131.72	255.89
134.10	255.05
129.23	255.86
130.93	264.51
131.61	260.40
129.10	265.08
129.68	266.79
127.67	265.38
128.59	271.52
132.99	268.45
135.12	264.44
137.28	263.69
133.77	255.62
132.12	249.71
133.82	249.56
132.28	244.54
129.37	241.40
132.38	241.16
140.87	246.90
144.38	248.38
142.83	252.12
144.24	245.54
143.83	244.42
141.73	245.51
137.32	246.57
136.11	243.63
143.20	243.32
138.12	240.50
140.42	239.34
138.90	239.13
140.12	247.41
138.29	243.11
137.83	245.85
140.21	246.76
144.35	244.58
148.19	236.72
151.07	235.58
155.86	237.57
159.87	239.92
157.01	241.41
157.47	242.71
152.20	249.08
149.44	247.56
143.57	245.87
139.35	244.74
136.11	247.41
141.27	246.61
141.53	246.23
133.00	243.48
133.10	243.77
137.46	242.41
133.74	243.78
134.88	236.70
129.29	233.81
130.06	233.69
128.39	239.63
127.02	240.47
