Object Tracking Data File Tue, Nov 22, 2022 10:13 AM
X (pixels)  	Y (pixels)  
716.03	348.78
718.96	349.30
721.45	350.58
725.59	354.07
727.13	350.25
728.97	349.68
723.93	347.98
723.36	344.45
716.46	341.04
718.33	337.15
716.25	343.76
716.11	343.29
716.92	339.44
717.54	343.26
720.40	344.04
717.73	350.27
720.15	348.26
718.75	343.58
714.23	345.10
719.15	346.02
720.48	341.71
717.81	342.49
717.35	342.05
713.24	342.23
716.13	342.01
718.97	340.67
720.29	340.95
724.66	341.59
723.86	338.86
724.08	340.19
729.69	335.73
728.57	333.47
726.05	331.27
718.80	330.53
720.01	327.35
715.44	329.31
713.19	330.36
706.98	326.33
708.49	324.74
705.01	327.12
700.39	326.46
701.01	329.18
705.23	330.70
700.09	330.46
696.67	329.41
692.26	331.70
695.30	326.77
695.48	327.28
695.69	328.49
693.18	329.84
691.11	327.19
696.88	327.43
696.35	327.61
696.58	329.36
693.40	327.94
694.37	324.96
696.41	326.05
697.04	325.71
695.12	328.40
696.62	324.96
695.70	325.14
696.06	324.38
694.22	324.49
695.94	326.46
701.19	327.43
708.01	326.78
707.02	329.27
699.03	326.40
696.78	325.14
699.48	321.95
700.94	321.20
708.66	323.99
704.27	320.77
703.53	319.81
696.63	318.98
695.05	318.73
694.76	319.82
696.01	322.36
687.65	317.29
681.13	316.17
678.40	320.80
681.89	314.08
683.54	311.97
685.53	310.91
688.52	315.23
688.47	317.01
685.79	322.17
688.67	323.06
685.97	323.02
676.91	317.21
678.29	314.86
680.95	309.33
688.20	312.40
688.40	309.32
691.91	309.98
689.77	313.51
694.60	309.68
694.69	308.66
688.29	306.26
694.14	303.84
694.33	302.57
694.50	307.73
696.46	306.50
697.26	308.79
699.70	307.68
701.30	310.92
700.61	314.71
700.16	313.90
693.92	315.26
693.89	314.87
695.41	311.66
693.60	313.92
690.90	313.36
689.64	309.91
693.06	311.56
694.98	314.93
697.24	319.05
693.86	321.28
693.94	324.65
695.67	325.80
