963.41	512.25
951.57	511.20
950.99	503.93
952.40	502.35
954.76	507.32
954.68	511.94
950.92	512.47
946.65	514.71
938.51	514.24
942.81	514.96
942.68	518.55
940.50	525.31
938.34	518.49
939.60	513.82
946.87	508.41
948.78	507.21
949.74	508.79
947.32	512.69
945.15	509.97
945.14	507.43
941.76	499.48
935.03	505.07
931.92	510.17
934.25	509.08
939.40	510.57
938.12	506.43
934.63	499.96
935.04	494.32
934.90	498.11
933.08	491.46
930.67	486.02
927.68	487.38
929.82	488.83
922.38	490.41
922.81	492.96
926.04	493.91
929.67	494.32
926.01	494.78
930.39	491.89
929.11	494.42
932.84	494.27
933.01	499.07
932.99	497.02
930.81	502.32
930.78	496.81
933.89	501.48
930.05	498.38
928.48	498.48
928.08	498.65
927.22	502.22
928.11	498.52
927.11	496.57
933.61	500.71
932.11	501.42
933.25	501.31
931.02	502.42
926.16	503.14
925.77	502.67
928.89	498.99
928.34	498.66
929.95	499.68
925.91	502.88
926.52	501.93
921.22	496.92
923.48	498.05
918.06	495.25
915.43	495.26
915.93	497.78
918.04	501.20
920.20	499.40
918.00	496.48
921.44	500.23
919.62	499.17
922.62	498.49
923.03	498.26
926.29	502.01
923.31	494.28
920.31	488.29
912.67	488.51
911.33	496.00
913.56	500.92
911.84	502.36
912.92	503.64
914.21	504.96
908.56	504.55
913.08	501.00
909.38	498.04
909.90	497.65
912.10	494.15
914.64	491.99
914.04	496.68
908.37	496.34
908.88	493.98
915.33	489.48
915.91	491.02
918.00	491.77
918.33	491.32
918.15	486.58
914.94	491.92
912.11	491.71
917.60	493.02
911.30	494.79
910.69	497.61
917.40	495.23
919.56	496.97
925.36	498.35
926.59	502.21
923.70	504.30
925.44	501.52
925.26	499.91
923.55	505.34
931.06	501.03
933.43	503.37
934.24	502.15
930.51	505.06
926.22	501.34
929.19	501.66
929.55	502.61
930.15	506.18
928.73	508.48
