Object Tracking Data File Tue, Nov 22, 2022 10:00 AM
X (pixels)  	Y (pixels)  
591.46	541.53
588.01	538.85
588.04	539.89
589.37	539.15
582.07	541.25
582.01	542.48
578.37	542.23
578.48	546.10
576.94	549.76
573.08	547.59
574.97	547.06
575.59	548.31
574.39	545.92
577.70	544.00
580.21	537.90
582.06	537.90
584.94	542.92
586.10	538.27
580.63	537.90
584.95	539.15
587.24	543.29
587.21	540.66
590.53	542.16
592.91	537.04
585.53	535.75
584.94	539.36
587.31	536.30
592.68	535.14
597.58	535.83
601.92	535.32
598.08	539.18
596.84	537.61
594.46	539.50
587.79	539.68
588.09	547.29
580.15	549.18
573.40	550.61
568.49	555.45
573.76	559.81
564.26	558.47
566.89	548.28
563.40	545.58
561.89	537.46
563.49	540.15
558.76	537.92
561.11	536.36
560.51	539.26
559.07	550.45
559.16	548.88
555.28	550.20
554.98	550.32
558.35	551.76
557.72	551.43
553.80	547.74
554.42	552.58
553.50	556.57
554.90	554.24
550.86	553.14
550.16	558.85
545.52	558.89
534.58	559.15
538.22	556.87
541.08	557.12
542.64	560.18
548.24	562.82
549.55	563.48
547.87	567.62
551.67	559.95
553.69	561.38
554.75	566.41
551.17	568.72
551.31	571.48
547.39	575.31
546.50	576.69
548.73	571.43
545.44	569.45
539.97	576.39
542.59	575.66
541.85	579.74
546.23	575.70
542.38	571.27
537.04	564.83
542.28	559.89
547.56	552.62
546.26	560.86
543.12	562.00
543.31	561.53
539.78	551.23
535.07	547.73
532.99	541.97
530.16	536.53
528.59	533.04
524.27	534.96
525.02	533.89
521.88	529.96
517.47	528.50
515.34	526.16
515.67	526.03
516.51	528.77
514.66	528.51
512.90	530.49
503.44	535.39
499.75	541.28
501.74	546.94
496.56	543.80
491.75	538.80
495.34	533.82
490.61	529.89
494.50	527.37
497.70	530.50
484.28	530.07
479.20	527.79
480.60	531.57
477.31	530.88
473.55	534.07
468.59	537.34
466.52	539.87
472.27	539.68
474.48	544.19
468.37	547.21
