Object Tracking Data File Tue, Nov 22, 2022 9:59 AM
X (pixels)  	Y (pixels)  
454.06	523.64
456.52	530.89
458.40	527.44
458.05	522.50
482.53	494.96
453.54	521.29
476.31	501.61
447.19	524.44
441.44	523.92
442.59	521.01
448.82	521.61
444.30	518.72
451.72	517.99
458.21	517.95
455.57	514.52
461.24	513.58
463.87	519.54
462.94	522.69
462.54	521.49
462.40	519.46
460.82	517.79
496.57	490.34
465.56	521.21
469.86	517.51
474.52	515.53
481.90	515.15
481.65	516.34
477.75	518.18
476.30	517.35
512.28	490.93
512.33	490.47
476.37	520.67
474.35	524.42
509.66	497.26
507.07	495.07
504.74	494.07
510.50	493.82
468.73	524.85
506.09	495.41
509.02	495.35
475.72	524.63
477.98	520.56
476.41	520.87
476.92	522.70
474.60	522.66
471.23	524.80
473.47	531.00
474.50	533.51
479.56	535.05
481.55	531.88
481.72	533.92
483.01	530.81
489.26	532.03
484.79	532.27
482.63	533.23
485.43	529.36
486.57	532.76
485.15	530.29
479.76	529.82
477.78	527.60
475.95	530.40
478.43	534.89
508.70	505.76
479.88	537.03
481.25	545.56
485.88	548.53
484.99	547.74
484.33	548.24
482.94	549.00
486.65	548.70
486.25	551.12
483.38	548.52
480.34	544.82
477.81	547.61
472.79	548.92
472.70	549.98
472.27	549.54
472.74	550.67
474.18	556.91
473.22	554.60
480.02	557.45
481.00	555.82
476.36	553.07
483.89	550.81
483.73	547.52
485.57	546.72
484.56	547.38
487.24	550.39
487.76	551.01
486.19	550.95
482.88	551.87
482.01	552.06
477.36	549.55
479.19	545.47
472.35	543.94
476.78	544.43
471.86	544.89
461.04	550.56
459.54	545.30
457.82	545.88
452.01	543.55
449.31	539.93
448.14	537.25
444.01	532.09
440.34	529.97
441.03	529.27
451.35	529.06
452.03	529.53
449.21	529.80
453.39	524.24
455.71	520.08
450.81	520.45
452.41	516.86
451.99	517.81
450.76	513.48
446.43	509.41
443.15	509.69
438.85	512.11
438.99	514.53
435.93	511.02
