Object Tracking Data File Tue, Nov 22, 2022 9:56 AM
X (pixels)  	Y (pixels)  
529.71	257.38
526.51	252.75
523.22	254.43
517.99	259.54
524.10	256.32
524.91	250.48
519.95	249.25
514.62	243.89
514.96	241.98
515.48	248.32
512.38	246.87
503.48	253.99
504.28	259.54
503.10	260.95
502.63	258.85
499.12	253.26
496.36	255.59
500.27	252.93
499.66	251.58
493.38	251.69
496.72	249.48
494.99	241.26
500.78	241.26
497.41	241.20
491.12	241.90
491.88	246.37
455.48	206.34
457.74	213.72
451.57	212.18
452.39	213.37
455.93	214.33
454.57	216.83
453.40	213.43
453.91	209.00
456.26	208.81
461.18	207.56
497.23	255.91
501.88	258.25
501.18	261.46
503.60	261.84
506.75	261.33
503.57	259.46
503.74	251.40
496.47	253.93
499.91	256.86
499.57	260.67
497.91	264.17
509.01	258.63
515.91	224.95
507.55	258.80
512.23	226.78
515.68	220.57
512.17	251.02
512.54	250.61
508.51	253.96
509.33	251.50
509.99	255.87
505.51	256.87
507.10	254.89
502.11	262.80
499.35	259.56
498.63	260.59
496.11	260.71
494.33	263.87
488.54	260.52
492.10	262.78
488.77	260.73
488.22	260.46
487.81	258.03
488.89	255.33
492.40	250.48
494.04	254.74
491.42	252.03
485.16	253.80
483.30	249.01
484.36	255.06
478.54	252.93
479.59	254.88
477.05	253.39
474.51	245.39
472.77	247.32
474.93	246.75
480.83	250.83
488.90	246.96
483.22	248.31
485.56	238.98
482.80	241.69
487.86	252.06
487.32	249.35
485.58	246.28
487.60	248.24
490.91	250.03
499.93	255.50
499.41	257.65
495.73	260.34
495.75	258.24
490.30	258.22
488.49	259.38
487.38	262.62
493.49	253.94
496.08	248.76
501.44	244.61
498.48	242.35
497.68	238.14
498.83	236.42
478.18	201.06
480.15	211.97
490.46	208.78
483.74	210.16
483.15	202.70
509.73	222.73
487.40	190.65
512.53	216.89
517.90	218.71
512.91	223.05
511.59	217.64
506.71	217.87
507.68	218.85
510.00	217.03
477.05	188.68
