Object Tracking Data File Tue, Nov 22, 2022 9:52 AM
X (pixels)  	Y (pixels)  
867.43	547.72
871.73	557.25
871.40	558.62
872.09	549.29
873.76	543.09
875.26	541.23
870.80	545.73
871.23	541.73
872.38	537.77
864.16	539.71
866.67	555.17
863.18	565.21
866.51	556.92
870.84	557.79
864.49	556.85
861.83	562.90
859.37	561.67
855.35	556.24
859.32	554.15
856.96	556.41
858.44	560.19
857.09	565.76
852.47	569.55
857.02	570.50
858.02	565.81
855.75	570.47
852.97	571.61
856.62	567.38
858.21	572.48
860.64	570.89
863.15	574.61
859.27	575.86
861.65	571.21
860.12	574.17
845.77	578.77
848.10	580.20
848.02	579.36
847.79	576.68
853.39	575.78
857.29	574.31
857.28	562.83
858.00	566.21
853.41	572.85
849.98	558.12
851.65	566.51
854.38	566.95
854.11	564.59
854.12	565.97
854.82	569.19
855.19	565.56
852.31	566.50
855.00	563.52
854.45	557.94
853.67	564.01
851.22	565.71
855.44	564.76
858.64	570.20
857.99	570.17
852.10	555.01
849.82	566.63
848.06	561.42
856.27	563.48
864.44	558.66
860.39	555.55
860.50	547.73
854.80	546.76
858.89	540.15
861.01	534.26
860.19	529.79
857.78	523.56
859.06	526.77
865.64	531.00
864.78	532.72
866.23	527.56
865.94	520.10
868.10	523.25
870.44	519.92
873.35	522.89
868.81	526.33
865.50	528.39
866.22	527.96
870.79	535.40
865.37	536.26
862.68	537.89
856.73	536.40
856.52	537.01
858.16	535.88
855.30	529.20
859.64	537.01
858.19	537.64
856.66	543.68
855.69	543.27
853.82	549.52
856.94	546.28
849.63	545.41
844.10	541.92
840.87	537.87
841.09	531.25
843.31	529.62
845.88	530.70
841.80	525.61
842.39	525.98
845.48	528.56
845.26	531.54
846.62	525.50
849.90	523.80
851.96	521.97
849.89	521.68
843.01	520.33
841.03	520.91
842.17	517.28
845.02	518.45
848.35	511.45
853.18	509.98
851.91	507.08
852.60	508.48
851.87	516.25
855.20	523.06
859.01	526.08
855.50	535.48
