Object Tracking Data File Tue, Nov 22, 2022 10:09 AM
X (pixels)  	Y (pixels)  
703.54	593.69
707.83	584.99
706.61	588.20
707.15	586.90
710.31	581.84
703.70	592.50
701.13	594.26
700.24	594.83
705.52	596.74
711.17	592.06
713.66	593.81
711.66	590.16
711.15	585.40
710.86	583.40
711.94	581.76
706.26	586.50
703.02	586.93
699.56	593.60
704.30	597.80
709.34	596.71
701.78	590.70
699.86	588.31
696.57	592.41
698.85	589.92
703.91	585.58
703.94	587.70
695.15	582.71
694.64	582.83
697.25	577.80
699.73	580.56
697.35	581.08
694.42	579.73
697.16	584.36
701.49	577.08
696.27	574.97
699.53	579.48
697.32	579.70
688.75	581.20
689.38	587.87
688.65	590.54
689.06	590.18
689.21	588.84
691.97	586.81
693.02	593.64
696.92	594.72
700.60	598.34
695.97	596.59
698.46	594.68
700.17	601.48
701.67	598.94
699.57	602.55
698.35	599.73
698.26	597.56
697.81	596.44
698.07	596.31
697.95	591.65
698.75	591.27
702.52	594.76
701.54	594.90
704.68	596.98
708.75	593.50
703.51	593.13
705.60	597.59
711.50	594.05
712.74	591.83
713.58	591.39
708.66	590.99
705.17	592.73
703.74	591.54
702.05	590.91
703.15	589.46
696.24	592.81
695.36	590.57
695.23	585.77
697.81	587.71
702.20	588.65
701.26	591.81
695.37	592.86
690.41	590.97
686.69	594.88
689.93	592.21
691.18	596.71
683.79	595.57
689.14	590.02
686.74	594.63
683.57	597.59
687.14	594.70
686.38	595.57
683.55	595.43
678.81	595.66
679.29	592.72
681.56	592.81
686.17	599.47
680.19	594.42
678.52	594.71
684.48	597.81
683.26	595.23
682.50	591.84
692.38	594.48
695.21	588.36
693.70	584.63
688.50	585.73
690.30	581.61
691.41	577.19
694.06	575.41
694.29	573.56
694.49	567.63
698.47	568.09
697.72	561.04
694.15	557.17
686.93	554.02
686.87	555.88
685.53	551.93
685.04	547.85
687.39	550.55
682.73	549.46
685.49	542.51
685.47	534.77
683.81	534.65
688.32	532.28
